name,level,school,casting_time,range,components,duration,classes,source,description
Instant Darkness,1,Conjuration,"1 reaction, taken when you are targeted by an attack",Self,V,Instantaneous,"Cleric, Druid, Ranger, Paladin, Sorcerer",Legends,"You may cast this spell as a reaction when you are targeted by a weapon or spell attack that you are aware of. With a single word, your shadow rises from the ground and engulfs you, rendering you incorporeal until the end of your next turn. During this time you can take no actions or reactions, and your speed is reduced by half."
Invoke Prejudice,8,Evocation,1 action,120 ft,"V, S","Concentration, up to 1 minute","Druid, Sorcerer, Wizard",Legends,"When you cast this spell, choose a damage type: acid, cold, fire, lightning, or necrotic. Choose a point within range that you can see. A 30-foot cube of glowing elemental energy centered on the chosen point springs into existence, filling the area. For the duration, the chosen damage type has a stronger presence in the area, causing creatures and objects in the area to take twice as much damage of the chosen type. The cube dulls the presence of the other damage types, granting all creatures within the area resistance to those damage types. Any creature within the area that is vulnerable to the chosen damage type takes 2d6 damage of the chosen type when it first enters the area on its turn, and at the start of each of its turns for as long as it remains within the cube of energy."
Jovial Evil,6,Necromancy,1 action (ritual),90 ft,"V, S, M (a raven feather)",1 week,"Cleric, Warlock",Legends,"A spell meant to worsen the afflictions of already injured creatures, perfect as revenge on a foe. Target creature that you can see within range must make a Charisma saving throw. On a failed save, the target's body is cursed with necromantic energy. For the duration, whenever the target is subject to magical healing which would restore hit points, they regain no hit points and instead take necrotic damage equal to half the hit points restored.
 At Higher Levels. When you cast this spell using a spell slot of 7th level, the duration becomes one month. When cast using a spell slot of 8th level, the duration is a year and one day. When cast using a spell slot of 9th level, the effects of the spell remain until dispelled."
Juxtapose,8,Transmutation,1 action,Touch,"V, S, M (a perfectly symmetric object, worth at least 500 gp, which the spell consumes)",1 hour,"Bard, Sorcerer, Wizard",Legends,"When you cast this spell, make a melee spell attack against a creature within reach. If the attack hits, choose an ability score. The target must make a saving throw using the chosen ability score. On a failed save, the chosen ability score of the target becomes equal to your own ability score, and your ability score becomes equal to the target's previous ability score. For example, if you were to target a creature with a Strength score of 17 and you had a Strength score of 10, if you hit the target and choose Strength as the ability score and the target fails their Strength saving throw, their Strength score becomes 10 and yours becomes 17. This effect may be removed with dispel magic only if both you and the target are within 30 feet of each other.
 At Higher Levels. When you cast this spell using a 9th level spell slot, the duration increases to 24 hours."
Kismet,6,Enchantment,1 action,120 ft,"V, S, M (a pair of silk gloves)","Concentration, up to 1 min.","Sorcerer, Wizard",Legends,"When you cast this spell, you alter the fate of up to three creatures of your choice in a 30-foot sphere within range. Whenever an affected target makes an Attack roll or attempts to cast a spell, they must make a Wisdom saving throw. On a failed save, the attack automatically misses or the spell fails, wasting the spell slot. If an affected target succeeds on the saving throw three times, the spell automatically ends for all targets."
Land Equilibrium,8,Evocation,1 action,90 ft,"V, S, M (a diamond worth 500 gp, consumed in the casting)",1 minute,Wizard,Legends,"You supernaturally enhance your own spellcasting abilities for a time, allowing you to respond to threats nearby. Whenever a creature within range casts a spell, you may use your reaction to cast a spell of the same level from your list of prepared spells, expending a spell slot as normal."
Land Tax,2,Enchantment,1 action,90 ft,S,"Concentration, up to 1 minute","Sorcerer, Warlock, Wizard",Legends,"Magic is inherently balanced- you're just making sure it's kept. You create a 30-foot cube centered on a point within range. Whenever a creature concentrating on a spell enters the area for the first time on its turn or begins its turn there, the creature must make a Constitution saving throw or lose concentration on the spell. When you cast this spell, you may designate one creature that you can see within range to be immune to the effect."
Land's Edge,6,Transmutation,1 action,150 ft,"V, S, M (a burning piece of coal)",10 minutes,"Bard, Sorcerer, Wizard",Legends,"A sudden wave of magical energy bursts forth from your position, swallowing the battlefield in a deep red mist, which soon fades. Any creature with an Intelligence of 8 or higher within range when the spell is cast gains the ability to cast the burning hands spell at will for the duration of the spell. The DC for the saving throw when an affected creature casts the spell is equal to your spell save DC."
Lifeblood,8,Evocation,1 action,Self,"V, S",10 minutes,"Cleric, Druid, Sorcerer",Legends,"The blood of your veins is replaced with molten fire, and your skin glows white-hot. For the duration of the spell, you gain the following effects: You become immune to fire damage. Whenever you are subject to fire damage, you instead take no damage and regain a number of hit points equal to the damage dealt. In addition, any spell you cast which deals fire damage deals an additional 4d6 fire damage. Any creature you grapple for the duration of the spell automatically takes 4d6 fire damage at the start of each of their turns."
Living Plane,8,Conjuration,1 action (ritual),Self,"V, S, M (a twig each of holy and oak)","Concentration, up to 10 minutes",Druid,Legends,"You command the forces of nature themselves, awakening the spirits of the natural world to your call. The ground around your shakes with your power. Your feet become anchored to the ground, preventing you from moving and granting yourself advantage on saving throws made to resist being knocked prone or moved against your will. For the duration, you may use an action on each of your turns to manifest one of the following effects within 120 feet of yourself. Whenever you choose an effect, the previous effect ends, unless stated otherwise.
 You cause the ground to warp around the legs of a creature, forcing them to make a Strength saving throw or become restrained. A restrained creature may repeat this saving throw at the end of each of their turns, freeing themselves on a success. A restrained creature is freed after 1 minute.
 You cause poisonous spikes to grow from the ground in a 30-foot radius, turning it into difficult terrain. Whenever a creature enters the area for the first time on their turn or starts their turn in the area, they take 3d6 poison damage and 3d6 piercing damage, and must make a Constitution saving throw or become poisoned.
 You manifest a burst of elemental energy at a point within range, forcing each creature within 15 feet of the chosen point to make a Dexterity saving throw, taking 6d6 damage on a failed save or half as much on a success. The type of damage is determined by the terrain: acid, cold, fire, lightning, or poison. The DM determines the appropriate type of damage.
 Tendrils of rock, stone, and dirt rise up from the ground in up to three spaces within range of your choice. As a bonus action on your turn, you may cause any number of the tendrils to attack a creature within 10 feet of the tendrils. Make a melee spell attack for each tendril, dealing 4d8 bludgeoning damage on a hit."
Mana Drain,3,Abjuration,1 reaction,60 ft,S,Instantaneous,"Sorcerer, Warlock, Wizard",Legends,"You attempt to steal away the magic of a creature casting a spell. If the creature is casting a spell of 1st level or lower, its spell fails and has no effect. You then regain an expended spell slot of 1st level. If you have no expended spell slots of 1st level, the magic has nowhere to go, and dissipates instead. If the creature is casting a spell of 2nd level or higher, make an ability check using your spellcasting ability. The DC equals 12 + the spell's level. On a success, the creature's spell fails and has no effect, and you regain an expended spell slot of that level. If you have no expended spell slots of that level, you instead regain a spell slot of your highest expended level that is less than the level of the interrupted spell.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the interrupted spell has no effect if its level is less than or equal to three levels below the level of the spell slot you used."
Mana Drain [ALT],6,Abjuration,1 reaction,60 ft,S,Instantaneous,"Sorcerer, Warlock, Wizard",Legends,"You attempt to interrupt a creature in the process of casting a spell. If the creature is casting a spell of 5th level or lower, its spell fails and has no effect. If it is casting a spell of 6th level or higher, make an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a success, the creature's spell fails and has no effect. If you successfully interrupt the creature's spell, you may cast a spell you have prepared of a level equal to or lower than the level of the interrupted spell without expending a spell slot.
 At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, the interrupted spell has no effect if its level is less than or equal to one level below the level of the spell slot you used."
Menges' Marvelous Moat,8,Enchantment,1 action,Self,"V, S","Concentration, up to 10 mins.","Bard, Druid, Sorcerer, Wizard",Legends,"For the duration of the spell, whenever a creature within 120 feet of you attempts to take the Attack action, they are briefly overcome by the sensation of having fallen into a deep moat which has appeared from nowhere. The creature must make a Wisdom saving throw. On a failed save, the creature becomes incapacitated and flails their arm wildly, attempting to stop the sensation of falling. Creatures with a flying speed automatically succeed on this saving throw. A creature that succeeds on the saving throw is immune to the effects of the spell for the remainder of the duration."
Rushed Imprisonment,2,Enchantment,1 action,90 ft,"V, S, M (a small metal cage)","Concentration, up to 1 minute","Bard, Cleric, Paladin, Wizard",Legends,"When you cast this spell, choose one creature within range that you are aware of. The target must make a Wisdom saving throw. On a failed save, a spectral cage appears around the target, visible only to the target and creatures with truesight. For the duration, whenever the target attempts to take the Attack action or cast a spell, you may use your reaction to force the target to make another saving throw. On a failed save, the target takes 2d8 psychic damage and is unable to take actions for the turn. On a success, the spell ends, and you take 4d8 psychic damage. If the target attempts to take the Attack action or cast a spell and you do not attempt to use your reaction to prevent them, the spell automatically ends."
Venter's Withering Blight,3,Necromancy,1 action,Touch,"S, M (a piece of rotten fruit)","Concentration, up to 10 min.","Sorcerer, Warlock, Wizard",Legends,"You touch a creature within reach, forcing them to make a Constitution saving throw. On a failed save, black vines begin to grow across the target's body, originating from the point you touched. Whenever the target takes an action, they take 5d8 necrotic damage, and must make a Constitution saving throw. On a success, the spell ends.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage dealt when the target takes an action increases by 1d8 for each slot level above 3rd."
Volcanism,1,Evocation,"1 reaction, taken when you are targeted by a melee attack",Self,"V, S",Instantaneous,"Bard, Sorcerer",Legends,"You unleash a burst of searing energy in front of yourself, distracting your opponent and burning at their skin, granting disadvantage on the attack roll. If the attack hits, the target takes 2d4 fire damage.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d4 for each slot level above 1st.
 "
Advice from the Fae,6,Divination,1 min (ritual),Self,"V, S, M (a vial of your own blood, and a silver mirror worth at least 40 gp)",Instantaneous,"Bard, Warlock, Wizard",Shadowmoor,"You drip blood from the vial onto the surface of the mirror, watching as it spreads to coat your reflection. Your image then fades away, only to be replaced with the face of a powerful archfey from the Feywild. You can ask the archfey that appears five questions, each of which must be no longer than 25 words. The archfey then chooses up to two of the questions and answers them to the best of its ability. While the archfey must answer the chosen questions truthfully, it may choose questions whose answers it has little or no knowledge of, or may use intentionally vague or unclear language when answering.When you cast this spell, you can attempt to contact a specific fey if you know that creature's name and appearance. The fey creature contacted this way does not need to be an archfey, but it must have an Intelligence of at least 10 or higher, and share a language with you. If the chosen fey is willing, it can answer the summons and appear in the mirror, answering your questions as normal. Once a creature has answered your summons and appeared in the mirror when you cast this spell, it can not do so again until the end of your next long rest.If you are a warlock with an archfey patron, you can instead cast this spell using a spell slot of 3rd level or higher.
 "
﻿Aero,1,Abjuration,1 action (ritual),Touch,"V, S",1 hour,"Druid, Sorcerer, Warlock, Wizard",Final Fantasy Homebrew Spells,"At your touch, the air begins to swirl around the target, cloaking them in a sphere of moving wind. The target gains 5 temporary hit points for the duration. Ranged attacks made against the target while it has these hit points are made with disadvantage.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the temporary hit points increase by 5 for each slot level above 1st. If you cast this spell using a spell slot of 5th level or higher, the target also gains resistance to bludgeoning, piercing, and slashing damage while they have the temporary hit points."
Aerora,3,Evocation,1 action,60 ft,"V, S",Instantaneous,"Druid, Sorcerer, Warlock, Wizard",Final Fantasy Homebrew Spells,"You level your hand at a target within range, and the air briefly swirls and collects around your palm, before launching at the target. Make a ranged attack roll. On a hit, the target takes 4d8 bludgeoning damage, is pushed 10 feet, and is knocked prone. Each creature in a line between you and the target must succeed on a Strength saving throw or take 2d8 bludgeoning damage and be knocked prone.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d8 for each slot level above 3rd."
Aeroga,5,Conjuration,1 action,Self,"V, S",1 round,"Druid, Sorcerer, Warlock, Wizard",Final Fantasy Homebrew Spells,"As you cast this spell, the air around you begins to whirl, eventually become a high-speed vortex, with you at its center. Each creature within 15 feet of you must make a Strength saving throw. On a failed save, an affected creature takes 6d8 bludgeoning damage, and is pushed 10 feet away from you and knocked prone. On a success, an affected creature takes half as much damage and is not pushed or knocked prone. Until the start of your next turn, all ranged weapon attacks made against you automatically miss, as the missiles are turned away by the powerful gusts of wind in your area.
 At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, the radius of the affected area increases by 5 feet and the damage increases by 1d8 for each slot level above 5th."
Aeroja,7,Conjuration,1 action,30 ft,"V, S, M (a broken twig)","Concentration, up to 1 min.","Druid, Sorcerer, Warlock, Wizard",Final Fantasy Homebrew Spells,"Choose a point that you can see within range. The pieces of the twig rise into the air and begin to spin in circles at the chosen point, faster and fast until their movement creates a miniature tornado. Each creature within 5 feet of the tornado must succeed on a Strength saving throw or be pulled inside its currents, becoming trapped in the tornado and unable to move out of it. Creatures trapped in the tornado have a speed of 0, and disadvantage on all attack rolls and attack rolls made against them are made with disadvantage. The tornado can hold up to 6 Small or Medium creatures, or up to 3 Large creatures. Creatures that are Huge or larger are unaffected by the spell. At the start of each of its turns, a creature trapped in the tornado automatically takes 4d8 bludgeoning damage and then repeats the saving throw. On a failed save, the creature remains trapped. On a success, the creature is thrown from the tornado 10 feet in a random direction. If this movement is stopped by a creature, wall, or another object, both take 2d8 bludgeoning damage. As an action on each of your turns, you can choose to move the tornado up to 20 feet in a direction of your choice. If this movement causes the tornado to move further than 100 feet away from you or into a space that you can’t see, the spell automatically ends.
 At Higher Levels. When you cast this spell using a spell slot of 8th level or higher, the affected radius around the tornado increases by 5 feet and the tornado can hold two additional Small or Medium or one additional Large creatures for each slot level above 7th."
Bio,3,Necromancy,1 action,60 ft,S,1 minute,"Cleric, Druid, Paladin, Warlock, Wizard",Final Fantasy Homebrew Spells,"Dozens of small, floating orbs of a sickly-green color appear in the air around a creature of your choice that you can see within range. The target must make a Constitution saving throw. On a failed save, the target takes 1d12 necrotic damage and is afflicted with a potent disease for the spell’s duration. On a successful save the target takes half as much damage, and the spell immediately ends. At the start of each of its turns and whenever it takes the Attack, Dash, or Dodge action, an afflicted creature must make another Constitution saving throw, taking 2d4 necrotic damage on a failed saving throw, or half as much damage on a success.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the initial damage increases by 1d12 and the secondary damage increases by 1d4 for each slot level above 3rd. You can target two creatures with this spell if you cast it using a spell slot of 5th level or higher, and three creatures if you cast it using a spell slot of 8th level or higher."
Bioga,5,Necromancy,1 action,Self,S,"Concentration, up to 1 min.","Cleric, Druid, Paladin, Warlock, Wizard",Final Fantasy Homebrew Spells,"As you cast this spell, you begin to grow pale and sickly, making you appear as if you were at death’s door, and a cloud of green smoke pours from your skin, filling a 15-foot radius sphere around you before dissipating in the air. At the start of each of your turns for the spell’s duration, you automatically take 1d12 necrotic damage. Whenever a creature begins its turn in the radius of the smoke or enters it for the first time on its turn, it must make a Constitution saving throw. On a failed save, an affected creature takes 4d12 necrotic damage and becomes poisoned for 1 minute; on a success, an affected creature takes half as much damage and is not poisoned, and is immune to the spell’s effects for the duration. At the start of each of its turns, a poisoned creature can repeat the saving throw, taking an additional 2d4 necrotic damage on a failed save and ending the effect on itself on a success.
 At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, the initial damage increases by 1d12 and the secondary damage increases by 1d4 for each slot level above 5th."
Biora,7,Necromancy,1 action,60 ft,"S, M (a rusty nail and a vial of poison, expended in the casting)","Concentration, up to 1 min.","Cleric, Druid, Warlock, Wizard",Final Fantasy Homebrew Spells,"When you cast this spell, choose a creature you can see within range. A cloud of green toxins wells up from the ground around the target, soaking into its skin, hair, and clothes. At the start of each of its turns for the spell’s duration, the target must make a Constitution saving throw, taking 4d12 necrotic damage on a failed save, or half as much damage on a success. When the spell ends, if the target has 50 hit points or fewer remaining, it dies.
 At Higher Levels. When you cast this spell using a spell slot of 8th level or higher, the damage increases by 1d12 for each slot level above 7th."
Blind,1,Illusion,1 action,60 ft,"V, S",1 round,"Bard, Cleric, Paladin, Wizard",Final Fantasy Homebrew Spells,"You create a sudden and powerful flash of light centered on a point of your choice within range. Each creature of your choice within 10 feet of the chosen point must succeed on a Constitution saving throw or be blinded until the start of your next turn.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the duration increases by 1 round for each slot level above 1st. If you cast this spell using a spell slot of 7th level or higher, each creature that fails the saving throw is permanently blinded and stunned for 1d4 rounds."
Blizzard,1,Evocation,1 action,60 ft,V,"Concentration, up to 1 min.","Bard, Druid, Sorcerer, Wizard",Final Fantasy Homebrew Spells,"You choose two creatures that you can see within range, that are both within 30 feet of each other. A thin blue line of magical energy connects the creatures, preventing them from moving more than 30 feet from each other. At the start of each of you turns, both targets must make a Constitution saving throw, taking 1d6 cold damage on a failed save.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st. When you cast this spell using a spell slot of 3rd level or higher, you can target three creatures instead; when you cast this spell using a spell slot of 6th level or higher, you can choose four targets instead, up to one of which can be an object or structure."
Blizzara,3,Evocation,1 action,Self,"V, S",Instantaneous,"Bard, Druid, Sorcerer, Wizard",Final Fantasy Homebrew Spells,"You launch a flurry of ice and snow in a 30-foot cone, forcing each creature in the area to make a Constitution saving throw, taking 3d8 cold damage on a failed save, or half as much on a success. If a creature fails this saving throw, ice collects around its feet, anchoring it to the ground and reducing its speed to 0 for 1 minute. An affected creature can use its action to make a Strength (Athletics) or Dexterity (Acrobatics) check against your spell save DC, freeing itself early on a success. If a trapped creature takes any amount of fire damage, it is automatically freed.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 2d8 for each slot level above 3rd."
Blizzaga,5,Conjuration,1 action (ritual),60 ft,V,"Concentration, up to 1 hour","Druid, Sorcerer, Wizard",Final Fantasy Homebrew Spells,"Choose up to three unoccupied spaces or objects that aren’t being worn or carried that you can see within range. A magical symbol appears on in the space or somewhere on the surface of the objects, briefly flashing with light before fading away. Noticing the faded symbols requires a successful Wisdom (Perception) check against your spell save DC. The symbols automatically appear to a creature under the effects of the detect magic spell. Whenever a creature moves within 5 feet of one of the symbols it explodes in a burst of ice, forcing each creature within 10 feet of it to make a Dexterity saving throw. On a failed save an affected creature takes 4d8 cold damage and its speed is reduced to 0 until the end of its next turn; on a success, an affected creature takes half as much damage and its speed is not reduced. When you cast this spell you can choose up to five creatures, including yourself. If a chosen creature moves within range of one of the symbols, it will not activate, but such a creature is still affected if it is within range of a symbol when it activates.
 At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d8 for each slot level above 5th. When you cast this spell using a higher level spell slot, you can place one additional symbol at 7th and 9th level."
Blizzaja,7,Conjuration,1 action,120 ft,"V, S, M (a block of ice weighing at least 1 lb., consumed in the casting)","Concentration, up to 10 mins.","Druid, Sorcerer, Wizard",Final Fantasy Homebrew Spells,"When you cast this spell, the block of ice shreds itself in your hands, turning into a blizzard of snowflakes that seek out up to five creatures of your choice that you can see within range, forcing each of the targets to make a Constitution saving throw. On a failed save the target takes 8d8 cold damage and is encased in ice, becoming petrified for the duration. On a success a target takes half as much damage, and is not petrified. A petrified creature can repeat the saving throw once every minute, ending the effect on itself on a success. If a petrified creature takes any amount of fire damage, the ice begins to melt, and it automatically succeeds on its next saving throw to end the effect. If a target remains petrified for the entire duration of the spell and fails its final saving throw, the petrification becomes permanent and the target and any equipment it is carrying or wearing are transformed entirely into ice."
Burst,2,Evocation,1 action,Touch,S,Instantaneous,"Cleric, Druid, Sorcerer",Final Fantasy Homebrew Spells,"Sparks fly from your hand, and crackling electricity travels from your fingers along the skin of a creature you touch. Make a melee spell attack against the target. If the attack hits, the target takes 2d10 lightning damage, and must succeed on a Constitution saving throw or be stunned until the start of your next turn.
 At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 2d10."
Choke,3,Necromancy,1 action,30 ft,S,"Concentration, up to 1 min.","Bard, Druid, Ranger, Wizard",Final Fantasy Homebrew Spells,"With a quick and simple motion of your hands, you draw the breath from the lungs of a creature you can see within range. The target must succeed on a Constitution saving throw or begin to suffocate. A creature that doesn’t breathe, or which breathes water instead of air,is immune to the spell’s effects. While the target is suffocating, it has disadvantage on all Strength and Constitution saving throws and ability checks.
 At Higher Levels. You can target up to two creatures when you cast this spell using a spell slot of 5th-level or higher, and up to three creatures when you cast it using a spell slot of 7th-level or higher."
Comet,3,Evocation,1 action,120 ft,"V, S",Instantaneous,"Sorcerer, Wizard",Final Fantasy Homebrew Spells,"A chunk of fiery stone comes hurtling from the sky towards a point you can see within range. Each creature in a 20-foot radius centered on the point must roll a d100. The comet strikes the creature with the lowest result, forcing it to make a Dexterity saving throw. If two or more creatures are tied for the lowest result on the d100, a comet strikes each of those creatures. A creature takes 5d6 fire damage and 5d6 bludgeoning damage on a failed save, or half as much on a success.
 At Higher levels. When you cast this spell using a spell slot of 4th level or higher, the fire damage and the bludgeoning damage each increase by 1d6 for each slot level above 3rd."
Meteor,6,Evocation,1 action,1 mile,"V, S",Instantaneous,"Sorcerer, Wizard",Final Fantasy Homebrew Spells,"A blazing orb of fire comes hurtling to the ground at a point you can see within range. Each creature in a 40-foot radius centered on the point must roll a d100. The meteor strikes the creature with the lowest result, forcing it to make a Dexterity saving throw, dealing 10d6 fire damage and 10d6 bludgeoning damage on a failed save, or half as much on a success. Each creature within 20 feet of the creature with the lowest result must also make a Dexterity saving throw, taking 5d6 fire damage and 5d6 bludgeoning damage on a failed save, or half as much damage on a success. The spell damages objects in the area and ignites flammable objects that aren’t being worn or carried.
 At Higher Levels. When you cast this spell using a spell slot of 7th level or higher the fire damage and the bludgeoning damage each increase by 1d6 for each slot level above 6th."
Dark,2,Necromancy,"1 reaction, taken when you hit a creature within range with a melee weapon attack",10 ft,"V, S",Instantaneous,"Bard, Cleric, Druid, Sorcerer, Warlock, Wizard",Final Fantasy Homebrew Spells,"You can use your reaction to cast this spell when you hit a creature within range with a melee weapon attack. You draw power from the target’s spilt blood, enveloping it in a chilling shadow the leeches its life away. The target must make a Constitution saving throw. On a failed save the target takes 2d6 necrotic damage, and its maximum hit points are reduced by an amount equal to the damage dealt. On a success, the target takes half as much damage and its maximum hit points are not reduced.
 At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6. When you cast this spell using a spell slot of 5th level or higher, if the target fails the saving throw, you regain a number of hit points equal to half the necrotic damage dealt this way."
Darkra,4,Necromancy,1 action,Self,"V, S","Concentration, up to 10 mins.","Bard, Cleric, Druid, Sorcerer, Warlock, Wizard",Final Fantasy Homebrew Spells,"You veil yourself in a cloak of chilling shadow, which reaches with wispy tendrils to sap the life from those around you. For the duration, whenever you hit a creature with a melee weapon attack, it must make a Constitution saving throw. On a failed save the creature takes an additional 3d6 necrotic damage, and you regain a number of hit points equal to half the necrotic damage dealt this way.
 At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, the damage increases by 1d6 for each slot level above 4th."
Darkga,6,Necromancy,1 action,Self,"V, S",Instantaneous,"Cleric, Warlock, Wizard",Final Fantasy Homebrew Spells,"Tendrils of shadowy darkness begin to spread across the ground, lashing and writhing as they suck the life from the area around you. Each creature in a 20-foot radius centered on you must make a Constitution saving throw, taking 6d6d necrotic damage on a failed save, or half as much damage on a successful one. You then gain a number of temporary hit points equal to half the total necrotic damage dealt this way.
 At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, the damage increases by 1d6 for each slot level above 6th."
Darkja,8,Necromancy,1 action,40 ft,"V, S, M (a shard of obsidian worth at least 500 gp, consumed in the casting)",Instantaneous,"Cleric, Warlock, Wizard",Final Fantasy Homebrew Spells,"Choose up to three creatures that you can see within range. A swirling mass of blue-black shadows begins to envelop the chosen creatures, draining their life away and forcing each target to make a Constitution saving throw. On a failed save, a creature loses a number of hit points equal to half its maximum hit points, rounded up. If this reduces the creature to 0 hit points, it immediately dies, and its body crumbles into black ash. You then regain a number of hit points equal to the total hit points lost by all creatures affected by the spell."
Death,5,Enchantment,1 action,60 ft,"V, S",Instantaneous,"Bard, Sorcerer, Warlock, Wizard",Final Fantasy Homebrew Spells,"You bring utter death to one creature that you can see within range. If the creature’s CR is divisible by 5, and it has 50 or fewer hit points remaining, it dies instantly. Otherwise, the spell has no effect. If the target doesn;t have a CR, use its level instead.
 At Higher Levels. When you cast this spell using a spell slot of 6th level, it affects creatures whose CR is divisible by 4 and have fewer than 100 hit points remaining. When you cast this spell using a spell slot of 7th level, the CR must be divisible by 3, and it must have fewer than 150 hit points remaining. When you cast this spell using a spell slot of 8th level, the CR must be divisible by 2, and it must have fewer than 200 hit points remaining."
Firaga,1,Evocation,1 action,60 ft,"V, S",Instantaneous,"Sorcerer, Wizard",Final Fantasy Homebrew Spells,"You launch a small ball of fire at a creature or object within range, which turns and veers to seek the best path towards its target. Make a ranged spell attack against the target, ignoring half cover and three-quarters cover. On a hit, the target takes 1d6 fire damage and the ball of fire explodes, dealing 1d4 fire damage to each creature within 5 feet of the target.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you launch an additional ball of fire and both the initial and splash damage each increase by one die for each slot level above 1st."
Magnega,2,Evocation,1 action,10 ft,"V, S","Concentration, up to 1 minute","Bard, Sorcerer, Wizard",Final Fantasy Homebrew Spells,"You create a small but powerful vortex in an unoccupied space that you can see within range, which begins to draw in creatures and objects around it. Creatures and objects of your choice within 30 feet of the vortex that are Medium or smaller must succeed on a Strength saving throw or be drawn 10 feet towards the vortex. Creatures and objects that touch the vortex or are pulled into the vortex’s space are drawn fully into the vortex and immediately take 1d8 bludgeoning damage, and an additional 1d8 bludgeoning damage at the start of each turn they begin inside the vortex. Because space is compressed in on itself within the confines of the vortex, any number of creatures and objects can fit inside the vortex. A creature drawn inside the vortex is restrained until freed and can repeat the saving throw at the end of each of its turns, freeing itself on a success. A creature freed from the vortex is dropped into a randomly chosen unoccupied space within 10 feet of the vortex and has advantage on saving throws made to avoid being pulled back in. When the spell ends, creatures and objects still caught in the vortex are launched 30 feet in a random direction from the vortex’s previous space, landing in the furthest unoccupied space. This movement does not provoke opportunity attacks. If a creature or object thrown this way would pass through the space of another creature or object, both take 1d8 bludgeoning damage and the creature or object stops moving.
 At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the radius of the vortex’s pull increases by 5 feet and the bludgeoning damage increases by 1d8 for each slot level above 2nd. The size of creatures and objects affected by the vortex’s pull increases when you cast this spell at higher levels, affecting Large creatures and objects at 5th level or higher, and Huge creatures and objects at 7th level or higher."
Thundaga,3,Conjuration,1 action,120 ft,"V, S",Instantaneous,"Cleric, Druid, Sorcerer",Final Fantasy Homebrew Spells,"Dark clouds briefly appear above the head of a creature that you can see within range, and a bolt of lightning leaps from the cloud to strike the target. The target must make a Dexterity saving throw, taking 2d10 lightning damage on a failed save or half as much on a success. If the target fails its saving throw, then each creature within 15 feet of it must also make a Dexterity saving throw, taking 1d10 lightning damage on a failed save or half as much on a success.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, both the initial and secondary damage increase by 1d10 for each slot level above 3rd. In addition, the radius of the secondary effect increases by 5 feet for each slot level above 3rd."
Austere Command,9,Evocation,1 action,60 ft,S,Instantaneous,Cleric,Lorwyn,"A trail of yellow smoke circles your hand, forming a symbol like a spiral with a mushroom and a mountain growing from it. When you cast this spell, choose two of the following options:
 Conclude: Choose any number of creatures or objects that you can see within range. Any spell of 8th-level or lower currently affecting one of the chosen targets immediately ends. In addition, each of the targets are cured of any of the following conditions: blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned, stunned.
 Crush: Choose any number of creatures that you can see within range. If a chosen creature has 100 or fewer hit points, it must make a Constitution saving throw. On a failed save, it is immediately reduced to 0 hit points. If the target succeeds on the saving throw or has more than 100 hit points, the spell has no effect on that creature.
 Humble: Choose any number of creatures that you can see within range. If a chosen creature has more than 100 hit points, it must make a Constitution saving throw. On a failed save, it is immediately reduced to 100 hit points. If the target succeeds on the saving throw or has 100 or fewer hit points, the spell has no effect on that creature.
 Ruin: Choose any number of nonmagical objects or up to three non-sentient magical objects that you can see within range. Each of those objects are instantly destroyed, and crumble to dust. If a chosen object is being worn or carried by a creature, that creature can make a Constitution saving throw to avoid the effect."
